slug,code_commune,nom_ville,date,auteur,note_moyenne,environnement,transports,securite,sante,sports_et_loisirs,culture,enseignement,commerces,qualite_de_vie,points_positifs,points_negatifs
paris-1er-arrondissement,75101,Paris 1Er Arrondissement,04-08-2025,adLolo22,6.50,6,,,,,,,,,"N'étant pas particulièrement concerné par la santé et l'éducation, je ne me voyais pas spécialement écrire sur le sujet. 
Pour les points positifs : 
 
→ Les transports sont exceptionnels. Honnêtement, que ce soit en bus, métro, RER, il n'y a pas d'endroits à Paris où vous serez aussi bien desservis. Pareil pour les pistes cyclables, qui sont relativement accessibles dans l'arrondissement. Pas mal d'arrondissements plus sympas que le premier sont accessibles à pied facilement. 
 
→ Par rapport à l'environnement, ça pourrait toujours être mieux, mais il y a tout de même le jardin du Louvre, plus le palais du jardin royal. Il y a relativement moins de présence automobile par rapport à d'autres quartiers. Les rues peuvent être sales quand même, avec pas mal de déchets, car le quartier est sur-fréquenté, surtout vers Châtelet, Saint-Anne et le Louvre (presque partout, du coup, en fait). 
 
→ Question sport, loisirs et culture : honnêtement, c'est quand même plutôt sympa. Pas de vraies infrastructures sportives, mais en même temps, c'est le centre de Paris. 
 
→ Question sécurité, ça va encore, même si je déconseille sincèrement Châtelet à partir de minuit. Toujours quelques personnes chelou qui traînent, mais bon, c'est Paris.","→ Côté commerces, peu de diversité, les grandes surfaces sont vraiment chères. Pas de commerce de proximité, surtout des cafés, magasins pour touristes ou grandes chaînes. Commerces vraiment adaptés aux touristes et aux cadres qui travaillent à Opéra (mais bon, j'imagine que c'est une concentration commerciale qui ne dérange pas vraiment la Mairie ni la SEMAEST). 
→ Côté prix des logements, notamment des locations, c'est super abusé, surtout pour un quartier mort comme celui-ci. Quartier de passage, plutôt bourgeois catho, mais pas spécialement doté d'âmes ni de gens/commerçants sympathiques. Le week-end et l'été, on est clairement sur du sur-tourisme niveau Montmartre, ce qui n'est pas spécialement reposant et ne donne pas vraiment envie de sortir. C'est même plutôt assez stressant comme quartier : toujours du mouvement, c'est rarement vraiment calme."
paris-1er-arrondissement,75101,Paris 1Er Arrondissement,13-05-2025,Flo,7.69,7,,,,,,,,,"Vie culturelle exceptionnelle avec le Louvre,  la bourse du Commerce,  de nombreuses institutions culturelles de premier plan. Quartier des Halles très très bien desservi en transports en commun,  et rue de Rivoli permet des déplacements aisés à vélo.","Manque d'espaces verts de proximité (les parcs patrimoniaux sont sublimes mais ne répondent pas à tous les usages),  beaucoup de bureaux et donc peu d'habitants,  ce qui se voit en termes de commerces de proximité très inégalement répartis."
paris-1er-arrondissement,75101,Paris 1Er Arrondissement,23-09-2020,Parisiendéçu,4.94,6,,,,,,,,,"- De nombreux commerces et transports, étant dans le centre de Paris, cet arrondissement dispose de très nombreuses connexions vers la banlieue et Paris, les déplacements sont donc raccourcis. 
 
- Le patrimoine architectural (Louvre, Palais-Royal) et également le jardin des Tuileries 
 
- Le sympathique quartier asiatique proche de l'Opéra et ses bons restaurants et épiceries.","- ""L'ensauvagement"" absolu du quartier des Halles d'où arrivent toutes les raca****s de banlieue. Le jardin jouxtant les Halles est une honte absolue à ce niveau. Pensée émue également au parc d'attraction estival des Tuileries auquel mes grands-parents m'emmenaient étant tout petit et qui me renvoie à tant de souvenirs agréables. Aujourd'hui il est devenu un lieu totalement ensauvagé, malfamé, bruyant et agressif où même moi, masse de muscles d'1m80, je ne me sens pas en sécurité. Une chose est sûre je n'y amènerai pas mes futurs enfants. Quelle tristesse de voir la destruction intégrale de ce lieu (comme tant d'autres) autrefois si agréable."
paris-1er-arrondissement,75101,Paris 1Er Arrondissement,28-10-2019,Rose,3.38,0,,,,,,,,,"Central, vie culturelle abondante, commerces partout.","Quartier de passage étant donné la proximité du RER. Les gens viennent au ciné, boire un verre ou acheter des vêtements et s'en vont. Les locaux (y en a peu) ne sont pas du tout sympathiques. Bruit constant matin soir, nuit. Saleté des rues étant donné le passage. Délinquance à maîtriser. Et surtout ce qui marque, c'est la pollution, abondante et intense. Ajoutez y le bruit est c'est la formule parfaite pour devenir dingue."
paris-1er-arrondissement,75101,Paris 1Er Arrondissement,21-06-2019,Karelm,8.94,7,,,,,,,,,"Les transports sont assez faciles entres le métro et les bus, la sécurité pour ma part est présente. 
Quartier agréable. 
Accès facile aux établissements de santé et aux structures scolaires et pédagogiques.","Problème si vous prenez la voiture, sinon trop peu de commerces. 
Assez de pollution."
paris-1er-arrondissement,75101,Paris 1Er Arrondissement,11-09-2018,Piernic,7.69,7,,,,,,,,,"Qualité de vie en général, transports, commerces, il fait bon vivre dans cet arrondissement. Supprimer airbnb qui est très négatif pour le tissus social local. On regrette aussi l'époque où le commissariat des Halles était ouvert 24H/24 :( .",Difficile de pratiquer une activité sportive!
paris-1er-arrondissement,75101,Paris 1Er Arrondissement,29-08-2018,Clo,8.38,7,,,,,,,,,"On fait tout à pieds: on y trouve tout ce dont on peut avoir besoin au quotidien au delà des commerces, et la proximité avec les autres arrondissements du centre permet d'élargir à prix bas l'offre médicale, sportive, etc, car c'est un tout petit arrondissement après tout. Proximité des théâtres du 2e et du 10e. Ne pas oublier la rénovation des halles avec un grand parc et la proximité des quais de seine, maintenant piétons. Sans oublier les tuileries qui occupent une grande partie de l'arrondissement, et Les Halles qui sont maintenant une aire piétonne unique à Paris, agréable et faisant oublier les voitures. Contrairement à ce qu'on pourrait penser, il est aussi assez facile d'y avoir des enfants car les places en crèche ou en halte garderie y sont plus courantes, et les activités ne manquent pas (activités artistiques... au Louvre, et proximité d'activités dans le 2e arrondissement notamment). Sinon, on rejoint l'ensemble de Paris très rapidement grâce à toutes les lignes de transport.","Les prix de l'immobilier bien sûr. 
Il faut aimer voir du monde, mais si on a des horaires décalés, on arrive quand même à avoir le quartier pour soi le matin."
paris-1er-arrondissement,75101,Paris 1Er Arrondissement,21-01-2015,Ere,6.63,3,,,,,,,,,"Central, très pratique 
Petits commerces de proximité  
Shopping 
Proximité de l'ile de la cité et des ponts de Paris pour balades","Travaux des halles 
Vols en terrasses 
Cout de la vie et prix de l'immobilier"
marseille-1er-arrondissement,13201,Marseille 1Er Arrondissement,31-07-2025,marseillaissympa,4.19,6,,,,,,,,,"Soleil; la mer , climat doux, on n'a jamais froid.","C'est une catastrophe, dans le métro des agressions tous les soirs entre 21h et 0h30, entre le vieux port et terminus la rose, bien qu'il y ait des caméras, les coupables jamais arrêtés, je vous conseille de ne pas prendre le métro à ces heures et de privilégier une trottinette à louer ou de marcher à pied, prendre le bus ou tramway , ne tombez pas dans le piège, ces personnes n'ont de pitié pour personne."
marseille-1er-arrondissement,13201,Marseille 1Er Arrondissement,24-02-2025,René,8.94,9,,,,,,,,,"Le 1er est plein de charme avec ses rues animées son ambiance et ses monuments historiques faisant un quartier riche en patrimoine, où se croisent habitants et visiteurs. C'est un arrondissement accessible ou l'on peut dénicher de bonnes affaires et y passer de bonne soirée.",On se retrouve souvent serrés.
